id,name_petition
1,О назначении дактилоскопической экспертизы
2,О назначении психолого-психиатрической экспертизы
3,О назначении психолого-психиатрической экспертизы в отношении потерпевшего
4,О назначении судебно-медицинской экспертизы
5,О назначении фоноскопической экспертизы
6,О прекращении уголовного дела ввиду невменяемости обвиняемого
7,Об изменении меры пресечения
8,Об исключении недопустимого доказательства - протокола осмотра места происшествия
9,Об исключении недопустимого доказательства - протокола осмотра места происшествия при задержании с поличным
10,О постановке дополнительных вопросов эксперту-полиграфологу
11,Об истребовании данных о телефонных соединениях абонента
12,Об определении порядка ознакомления участников со стороны защиты с материалами дела
13,Об освобождении задержанного
14,Об участии адвоката в производстве всех следственных действий
15,О проверке алиби
16,О допросе свидетелей
17,О допросе свидетелей и проведении очных ставок
18,Об исключении доказательства
19,Об исключении доказательств
20,Ходатайство о признании результатов ОРД недопустимыми доказательствами
21,О прекращении уголовного дела по ст. 159 УК РФ на основании п. 1 ч. 1 ст. 27 УПК РФ
22,О прекращении уголовного дела по ст. 199 УК РФ на основании п. 2 ч. 1ст. 24 УПК РФ
23,О прекращении уголовного дела по ст. 204 УК РФ на основании п. 2 ч. 1 ст. 24 УПК РФ
24,О прекращении уголовного дела по ст. 241 УК РФ в связи с отсутствием в действиях лица состава преступления
25,О производстве выемки документов
26,О допуске защитника
27,О приобщении к материалам уголовного дела доказательств защиты и допросе специалиста
28,О переквалификации действий обвиняемого и прекращении уголовного дела
29,Об уведомлении адвоката
30,Ходатайство об отводе адвоката в соответствии со ст.72 УПК РФ
31,Ходатайство о замене адвоката в соответствии со ст. 50 52 УПК РФ
32,Ходатайство о переквалификации обвинения и применении акта об амнистии
33,Ходатайство о перепредъявлении обвинения и дополнительном допросе обвиняемого
34,Ходатайство о производстве дополнительных следственных действий и дополнении материалов уголовного дела
35,Ходатайство об отводе следователя
36,Ходатайство об исключении из числа доказательств явки с повинной
37,Ходатайство об исключении из числа доказательств протокола допроса подозреваемого
38,Ходатайство о получении доказательств
39,Ходатайство о назначении судебной экспертизы
40,Ходатайство о рассмотрении жалобы на незаконные действия следователя
41,Ходатайство о передаче уголовного дела по подследственности
42,Ходатайство о прекращении уголовного дела
43,Ходатайство об отмене ареста имущества
44,Ходатайство об изменении меры пресечения
45,Ходатайство об исключении доказательств полученных с нарушением закона
46,Ходатайство о назначении трасологической экспертизы
47,Ходатайство о приобщении к уголовному делу доказательств защиты
48,Ходатайство об исключении очной ставки из числа доказательств
49,Ходатайство о возобновлении предварительного расследования
50,Ходатайство об истребовании доказательств и проведении следственных действий
51,Ходатайство о переквалификации действий обвиняемого
52,Ходатайство о переквалификации обвинения на неоконченное преступление
53,Ходатайство о переквалификации действий обвиняемого и прекращении уголовного дела
54,Ходатайство об отводе адвоката в соответствии со ст.72 УПК РФ
55,Ходатайство об отводе представителя потерпевшего в соответствии со ст. 72 УПК РФ
56,Ходатайство о приобщении к материалам уголовного дела доказательств защиты
57,Ходатайство об освобождении имущества из-под ареста
58,Ходатайство о признании потерпевшим
59,Ходатайство о признании потерпевшего гражданским истцом
60,Ходатайство о допуске к делу предствителя гражданского ответчика
61,Ходатайство об ознакомлении с материалами судебной экспертизы
62,Ходатайство о восстановлении срока апелляционного обжалования приговора
63,Ходатайство обвиняемого о производстве дополнительных следственных действий
64,Ходатайство о признании заключения лингвиста–эксперта недопустимым доказательством
65,Ходатайство о направлении в суд жалобы на незаконные действия следователя
66,Ходатайство о получении копии обвинительного заключения
67,Ходатайство об отмене домашнего ареста
68,Ходатайство о разъяснении сущности предъявленного обвинения
